=== Step-3 estimator power control (kNN reliability-prediction corr) ===
est(TRUE r): estimator on planted reliabilities (its ceiling at this n)
est(recovered r): estimator on EM-recovered reliabilities (what Step 3 sees)

  reuse  planted  est(TRUE r)  est(recovered r)  #obs nodes
   1.24      0.0       -0.024            -0.023         572
   1.24      0.5        0.253             0.002         572
   1.24      0.9        0.664             0.012         572
    2.0      0.0       -0.031            -0.033         598
    2.0      0.5        0.214            -0.029         598
    2.0      0.9        0.635             0.014         598
    8.0      0.0       -0.001             0.002         248
    8.0      0.5        0.274            -0.005         248
    8.0      0.9        0.652             0.018         248
   64.0      0.0       -0.123             0.052          32
   64.0      0.5       -0.055             0.103          32
   64.0      0.9        0.282             0.210          32
